ID	Predicted_Category
2	Politics
10	Business
25	Film
28	Politics
29	Technology
33	Business
34	Film
37	Film
39	Technology
40	Film
44	Film
56	Film
66	Business
75	Film
77	Film
85	Business
89	Business
92	Film
107	Film
112	Business
115	Film
139	Business
140	Business
152	Business
156	Film
162	Film
167	Business
170	Business
171	Business
173	Politics
182	Business
186	Film
193	Business
196	Business
210	Business
218	Football
224	Business
227	Business
230	Business
232	Football
247	Film
262	Football
273	Football
276	Politics
279	Football
284	Business
286	Football
287	Business
305	Film
316	Business
337	Politics
342	Business
349	Film
357	Film
363	Film
367	Film
368	Film
374	Film
377	Film
385	Film
395	Film
401	Film
417	Film
422	Film
427	Film
433	Business
438	Business
469	Technology
470	Technology
473	Politics
481	Film
486	Technology
490	Technology
495	Technology
510	Politics
519	Politics
523	Politics
533	Business
536	Business
538	Politics
545	Business
550	Politics
551	Film
557	Business
558	Film
561	Business
565	Technology
575	Politics
583	Business
589	Business
592	Film
593	Business
594	Business
598	Politics
599	Politics
607	Politics
614	Business
626	Business
627	Politics
634	Film
636	Business
639	Business
641	Technology
643	Business
650	Business
655	Business
662	Film
666	Film
667	Business
673	Technology
678	Business
693	Business
694	Business
696	Technology
697	Film
699	Business
704	Film
706	Business
707	Technology
709	Technology
717	Business
724	Business
728	Film
732	Film
733	Business
741	Film
746	Business
747	Business
749	Business
750	Football
754	Business
756	Business
768	Politics
769	Business
774	Business
775	Business
776	Politics
789	Business
802	Politics
804	Business
809	Film
816	Film
825	Technology
827	Film
830	Politics
837	Film
838	Politics
839	Politics
849	Politics
854	Politics
865	Business
871	Politics
873	Politics
884	Politics
886	Politics
893	Film
896	Football
898	Football
907	Politics
909	Politics
910	Business
911	Politics
914	Politics
916	Politics
922	Business
925	Film
926	Politics
935	Business
936	Business
946	Business
952	Business
954	Politics
959	Business
960	Politics
961	Business
964	Business
965	Business
968	Business
971	Politics
972	Business
982	Business
983	Business
985	Business
987	Business
990	Technology
994	Business
1010	Politics
1014	Business
1024	Film
1026	Business
1032	Film
1047	Business
1050	Business
1059	Politics
1061	Business
1062	Business
1069	Politics
1072	Politics
1074	Film
1081	Football
1088	Film
1090	Film
1093	Politics
1097	Film
1100	Football
1102	Film
1105	Film
1142	Technology
1143	Film
1155	Politics
1162	Film
1163	Film
1169	Politics
1174	Film
1177	Politics
1178	Film
1184	Film
1185	Business
1192	Film
1208	Politics
1209	Politics
1215	Film
1217	Politics
1219	Business
1221	Film
1223	Politics
1225	Politics
1229	Business
1230	Politics
1239	Politics
1251	Politics
1265	Technology
1269	Technology
1282	Technology
1287	Technology
1295	Technology
1301	Film
1302	Film
1306	Film
1310	Business
1314	Business
1322	Business
1328	Business
1331	Business
1332	Business
1337	Business
1345	Politics
1349	Politics
1353	Politics
1356	Film
1359	Technology
1368	Business
1371	Business
1377	Football
1381	Film
1387	Film
1389	Technology
1404	Film
1411	Film
1413	Technology
1425	Technology
1428	Film
1429	Business
1430	Film
1433	Business
1437	Film
1438	Film
1446	Technology
1447	Technology
1454	Technology
1461	Business
1462	Business
1463	Technology
1466	Film
1469	Film
1475	Technology
1485	Football
1488	Business
1493	Politics
1496	Film
1497	Film
1500	Film
1502	Technology
1508	Technology
1509	Film
1518	Film
1522	Film
1524	Film
1527	Business
1529	Film
1531	Film
1533	Film
1537	Film
1548	Film
1555	Film
1556	Film
1558	Film
1568	Film
1570	Film
1571	Film
1572	Film
1583	Film
1589	Film
1597	Film
1602	Film
1606	Film
1607	Film
1613	Film
1624	Film
1637	Film
1638	Film
1639	Film
1652	Film
1654	Film
1663	Politics
1675	Politics
1695	Politics
1703	Politics
1704	Politics
1705	Politics
1709	Politics
1714	Business
1715	Business
1725	Business
1726	Technology
1741	Film
1749	Politics
1755	Film
1760	Football
1761	Football
1768	Film
1772	Football
1775	Football
1778	Business
1779	Politics
1781	Politics
1784	Film
1789	Politics
1797	Business
1803	Film
1805	Politics
1812	Film
1819	Business
1833	Film
1843	Politics
1844	Politics
1845	Business
1860	Film
1864	Film
1873	Film
1878	Film
1879	Film
1884	Film
1885	Film
1889	Film
1895	Film
